Timestamp,CAM OPERATOR BADGE#,SCAN CASE NUMBER,DEFECT CATEGORY,DEFECT DESCRIPTION,LOCATION WHEN DAMAGED WAS NOTICED
3/23/2020 8:43:49,TSCHAFFER,SARA101520010740,SHADE / MATERIAL INCORRECT or CHANGED,OVEN NOT PURGED,POST CAM
3/23/2020 10:28:56,TSCHAFFER,ROLO101520010659,SHADE / MATERIAL INCORRECT or CHANGED,TOO OPAQUE,POST CAM
3/23/2020 10:30:34,TSCHAFFER,ROLO101520010483,SHADE / MATERIAL INCORRECT or CHANGED,TOO OPAQUE,POST CAM
3/23/2020 10:34:49,TSCHAFFER,ROLO101520010572,MARGIN ISSUE,SHORT,POST CAM
3/23/2020 10:42:43,TSCHAFFER,SARA101520010650,SHADE / MATERIAL INCORRECT or CHANGED,TOO OPAQUE,POST CAM
3/23/2020 10:43:32,TSCHAFFER,SARA101520010475,BROKEN / CHIPPED / CRACKED,CRACKED,POST CAM
3/23/2020 11:05:12,TSCHAFFER,ROLO101520010579,SHADE / MATERIAL INCORRECT or CHANGED,TOO OPAQUE,POST CAM
3/23/2020 11:05:54,TSCHAFFER,ROLO101520010695,SHADE / MATERIAL INCORRECT or CHANGED,TOO OPAQUE,POST CAM
3/23/2020 11:19:36,TSCHAFFER,ROLO101520007955,SHADE / MATERIAL INCORRECT or CHANGED,TOO OPAQUE,POST CAM
3/23/2020 11:20:31,TSCHAFFER,ROLO101520010737,SHADE / MATERIAL INCORRECT or CHANGED,TOO OPAQUE,POST CAM
3/23/2020 11:35:43,TSCHAFFER,SARA101520010648,SHADE / MATERIAL INCORRECT or CHANGED,TOO OPAQUE,POST CAM
3/23/2020 11:52:04,TSCHAFFER,ROLO101520010481,MARGIN ISSUE,SHORT,POST CAM
3/23/2020 12:11:13,TSCHAFFER,SARA101520010132,CONTOUR / OCCLUSION,CONTOUR,POST CAM
3/23/2020 13:33:20,TSCHAFFER,SARA101520010249,SHADE / MATERIAL INCORRECT or CHANGED,TOO OPAQUE,POST CAM
3/23/2020 14:42:32,TSCHAFFER,SARA101520010122,BROKEN / CHIPPED / CRACKED,CRACKED,POST CAM
3/23/2020 14:47:36,TSCHAFFER,SARA101520010742,MARGIN ISSUE,SHORT,POST CAM
3/23/2020 15:06:49,TSCHAFFER,ROLO101520010765,SHADE / MATERIAL INCORRECT or CHANGED,TOO OPAQUE,POST CAM
3/23/2020 15:47:59,TSCHAFFER,ROLO101520010041,SHADE / MATERIAL INCORRECT or CHANGED,TOO OPAQUE,POST CAM
3/23/2020 15:48:52,TSCHAFFER,ROLO101520010795,SHADE / MATERIAL INCORRECT or CHANGED,TOO OPAQUE,POST CAM
3/23/2020 15:49:26,TSCHAFFER,ROLO101520010764,SHADE / MATERIAL INCORRECT or CHANGED,TSCHAFFER,POST CAM
3/23/2020 15:50:24,TSCHAFFER,ROLO101520010774,SHADE / MATERIAL INCORRECT or CHANGED,TOO OPAQUE,POST CAM
3/23/2020 15:51:07,TSCHAFFER,ROLO101520010850,SHADE / MATERIAL INCORRECT or CHANGED,TOO OPAQUE,POST CAM
3/23/2020 15:52:32,TSCHAFFER,ROLO101520010013,SHADE / MATERIAL INCORRECT or CHANGED,TOO OPAQUE,POST CAM
3/23/2020 16:43:56,TSCHAFFER,SARA101520010766,SHADE / MATERIAL INCORRECT or CHANGED,TOO OPAQUE,POST CAM
